2023-03-15 19:19:32,592 [AppLog] INFO : 软件开机密码正确，登录成功1次
==========================================================================
操作系统:{Microsoft Windows 7 旗舰版 }
运行环境:{ .Net Framework Enviroment Version 4.0.30319.42000}
盘符：D
CPU使用率：{39.28546%} ，可用内存大小:{14103MB}，硬盘剩余空间：
  盘符 C:\ 的剩余空间：70 GB
  盘符 D:\ 的剩余空间：89 GB
  盘符 F:\ 的剩余空间：3 GB
硬件配置情况：
  CPU 厂家: GenuineIntel CPU 型号: Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  内存条厂家: Kingston 内存条型号: 99P5471-043.A00LF 
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Micron_1300_MTFDDAK256TDL ATA Device
  硬盘厂家: (标准磁盘驱动器) 硬盘型号: Generic Flash Disk USB Device
==========================================================================
2023-03-15 19:19:41,718 [AppLog] INFO : 进入手动调试子模块！
2023-03-15 19:19:43,730 [AppLog] INFO : 退出手动调试子模块,已执行修改
==========================================================================
2023-03-15 19:21:17,688 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:17,828 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:17,988 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:18,048 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:18,178 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:18,248 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:18,378 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:18,408 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:18,558 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:18,648 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:19,698 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:19,818 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:19,958 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:21,498 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:21,758 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:21,888 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:22,118 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:22,268 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-03-15 19:21:22,698 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-03-15 19:21:25,438 [AppLog] INFO : 退出手动调试子模块,已执行修改
==========================================================================
2023-03-15 19:21:26,438 [AppLog] INFO : 进入手动调试子模块！
2023-03-15 19:21:28,698 [AppLog] INFO : 退出手动调试子模块,已执行修改
==========================================================================
